Index,Type,ILL18StartIGB01, ILL18EndIGB01,CD1ArrivalTime,ILL12Start, ILL12End,ILL13StartIGB10, ILL13EndIGB10,CD29ArrivalTime(fromZhang)
11,DF,2019-06-10 21:45:00,2019-06-10 23:15:00,2019-06-10 22:01:17,2019-06-10 21:55:00,2019-06-11 01:50:00,2019-06-10 22:00:00,2019-06-11 02:00:00,2019-10-06 22:24:52
12,DF,2019-06-20 08:55:00,2019-06-20 09:55:00,2019-06-20 09:12:17,2019-06-20 09:13:00,2019-06-20 10:50:00,2019-06-20 09:30:00,2019-06-20 11:30:00,No Data
13,DF,2019-06-21 19:25:00,2019-06-21 20:55:00,2019-06-21 19:34:42,2019-06-21 19:20:00,2019-06-21 21:50:00,2019-06-21 19:30:00,2019-06-21 22:00:00,2019-06-21 20:45:43
14,DF,2019-07-01 22:50:00,2019-07-01 23:50:00,2019-07-01 23:00:29,2019-07-01 23:10:00,2019-07-02 01:30:00,2019-07-01 23:15:00,2019-07-02 01:30:00,No Data
15,DF,2019-07-02 22:00:00,2019-07-02 22:50:00,2019-07-02 22:09:28,2019-07-02 22:09:00,2019-07-02 23:20:00,2019-07-02 22:15:00,2019-07-02 23:35:00,2019-07-02 00:29:29
16,DF,2019-07-03 16:30:00,2019-07-03 17:10:00,2019-07-03 16:43:15,2019-07-03 16:45:00,2019-07-03 17:55:00,2019-07-03 17:20:00,2019-07-03 18:30:00,2019-07-03 23:51:46
17,DF,2019-07-15 03:25:00,2019-07-15 04:10:00,2019-07-15 03:40:21,2019-07-15 03:35:00,2019-07-15 05:10:00,2019-07-15 03:45:00,2019-07-15 05:00:00,2019-07-15 05:28:15
18,DF,2019-07-26 17:25:00,2019-07-26 18:45:00,2019-07-26 17:33:12,2019-07-26 17:33:00,2019-07-26 18:50:00,2019-07-26 17:30:00,2019-07-26 19:05:00,2019-07-26 18:50:25
19,DF,2019-08-11 16:55:00,2019-08-11 17:40:00,2019-08-11 17:02:34,2019-08-11 17:00:00,2019-08-11 18:15:00,2019-08-11 16:43:00,2019-08-11 18:45:00,2019-08-11 18:08:55
20,DF,2019-08-20 16:30:00,2019-08-20 17:20:00,2019-08-20 16:40:59,2019-08-20 16:40:00,2019-08-20 18:00:00,2019-08-20 16:50:00,2019-08-20 18:10:00,2019-08-20 18:03:44
21,DF,2020-06-04 15:00:00,2020-06-04 17:00:00,No Data,2020-06-04 15:10:00,2020-06-04 17:35:00,2020-06-04 15:15:00,2020-06-04 17:50:00,2020-06-04 15:38:51
22,DF,2020-06-07 07:40:00,2020-06-07 08:50:00,No Data,2020-06-07 07:55:00,2020-06-07 10:15:00,2020-06-07 08:10:00,2020-06-07 09:50:00,2020-06-07 09:49:32
23,DF,2020-06-08 13:35:00,2020-06-08 14:25:00,No Data,2020-06-08 14:00:00,2020-06-08 15:15:00,2020-06-08 14:20:00,2020-06-08 15:55:00,2020-06-08 15:51:59
24,DF,2020-06-08 16:40:00,2020-06-08 17:35:00,No Data,2020-06-08 16:50:00,2020-06-08 18:25:00,2020-06-08 17:00:00,2020-06-08 18:50:00,2020-06-08 17:59:10
25,F?,2020-06-09 23:55:00,2020-06-10 00:10:00,No Data,2020-06-10 00:25:00,2020-06-10 01:20:00,2020-06-10 00:50:00,2020-06-10 01:40:00,2020-06-10 01:05:43
26,DF,2020-06-16 22:55:00,2020-06-16 23:10:00,No Data,2020-06-16 23:30:00,2020-06-17 00:00:00,2020-06-16 23:50:00,2020-06-17 00:00:00,2020-06-16 23:56:18
27,DF,2020-06-17 01:10:00,2020-06-17 01:50:00,No Data,2020-06-17 01:30:00,2020-06-17 02:45:00,2020-06-17 01:50:00,2020-06-17 02:00:00,No Data
28,DF,2020-06-17 03:05:00,2020-06-17 04:30:00,No Data,2020-06-17 03:25:00,2020-06-17 05:20:00,2020-06-17 03:40:00,2020-06-17 06:05:00,2020-06-17 04:06:58
29,DF,2020-06-29 04:30:00,2020-06-29 05:35:00,No Data,2020-06-29 04:50:00,2020-06-29 06:20:00,2020-06-29 05:05:00,2020-06-29 06:40:00,2020-06-29 05:49:13
30,DF,2020-07-28 16:35:00,2020-07-28 17:15:00,No Data,2020-07-28 16:50:00,2020-07-28 18:30:00,2020-07-28 18:40:00,2020-07-28 18:55:00,2020-07-28 17:58:55
31,DF,2020-08-16 21:10:00,2020-08-16 22:00:00,No Data,2020-08-16 21:25:00,2020-08-16 22:50:00,2020-08-16 21:40:00,2020-08-16 23:45:00,2020-08-16 23:04:11
32,DF,2020-08-30 05:05:00,2020-08-30 10:10:00,No Data,2020-08-30 05:20:00,2020-08-30 12:35:00,2020-08-30 05:30:00,2020-08-30 11:05:00,2020-08-30 05:52:23
